OCID,CONTRACT_TITLE,CONTRACT_TYPE,PROCUREMENT_METHOD,BUYER_NAME,SUPPLIER_NAMES,CONTRACT_START_DATE,CONTRACT_END_DATE,CONTRACT_AMOUNT,CONTRACT_CURRENCY,País
303,Lopinavir + Ritonavir 200mg+50mg,,Subasta Inversa Electrónica,CENTRO NACIONAL DE ABASTECIMIENTO DE RECURSOS ESTRATEGICOS EN SALUD,Mylan Laboratories Limited,26/12/2019,," 2.391.397,68 ",USD,Perú
304,Lopinavir + Ritonavir 80mg+20mg/ml,,Subasta Inversa Electrónica,CENTRO NACIONAL DE ABASTECIMIENTO DE RECURSOS ESTRATEGICOS EN SALUD,ABBVIE S.A.S. SUCURSAL DEL PERÚ,12/09/2019,," 61.129,77 ",USD,Perú
305,Lopinavir + Ritonavir 80mg+20mg/ml,,Subasta Inversa Electrónica,CENTRO NACIONAL DE ABASTECIMIENTO DE RECURSOS ESTRATEGICOS EN SALUD,NORTH LIFE PHARMA DMCC,10/04/2018,," 36.240,88 ",USD,Perú
306,Ritonavir 100mg,,Subasta Inversa Electrónica,CEABE-ESSALUD,PHARMARIS PERU S.A.C,23/07/2018,," 168.844,11 ",USD,Perú
307,Atazanavir + Ritonavir 300mg + 100mg,,Por la entidad,CENTRO NACIONAL DE ABASTECIMIENTO DE RECURSOS ESTRATEGICOS EN SALUD,Mylan Laboratories Limited,23/12/2019,," 1.225.468,89 ",USD,Perú
308,Atazanavir (sulfato) 300 mg,,Licitacion publica,SEGURO SOCIAL DE SALUD,PHARMARIS PERU S.A.C,22/11/2019,," 832.597,12 ",USD,Perú
309,Darunavir 600mg,,Licitacion publica,CEABE-ESSALUD,JOHNSON & JOHNSON DEL PERU S.A,10/05/2018,," 251.546,69 ",USD,Perú
310,Raltegravir (potasico) 400mg,,Licitacion publica,CENTRO NACIONAL DE ABASTECIMIENTO DE RECURSOS ESTRATEGICOS EN SALUD,NORTH LIFE PHARMA DMCC,09/05/2019,," 1.532.603,72 ",USD,Perú
311,Raltegravir (potasico) 400mg,,Adjudicación Simplificada,SEGURO SOCIAL DE SALUD,MERCK SHARP Y DOHME PERU S.R.L,24/04/2019,," 107.778,98 ",USD,Perú
312,Raltegravir 100 mg tableta masticables frasco 60 tab,,Contratación Directa,INSTITUTO NACIONAL DE SALUD DEL NIÑO,CONSORCIO QUIMICA SUIZA S.A. - MERCK SHARP & DOHME PERÚ S.R.L.,15/08/2018,," 38.259,16 ",USD,Perú
313,Raltegravir (potasico) 400mg,,Contratación Directa,CENTRO NACIONAL DE ABASTECIMIENTO DE RECURSOS ESTRATEGICOS EN SALUD,CONSORCIO QUIMICA SUIZA S.A. - MERCK SHARP & DOHME PERÚ S.R.L.,04/02/2018,," 4.976.307,77 ",USD,Perú
314,Raltegravir (potasico) 400mg,,Contratación Directa,CENTRO NACIONAL DE ABASTECIMIENTO DE RECURSOS ESTRATEGICOS EN SALUD,CONSORCIO QUIMICA SUIZA S.A. - MERCK SHARP & DOHME PERÚ S.R.L.,06/12/2017,," 1.842.107,22 ",USD,Perú
315,Raltegravir (potasico) 400mg,,Contratación Directa,CENTRO NACIONAL DE ABASTECIMIENTO DE RECURSOS ESTRATEGICOS EN SALUD,CONSORCIO QUIMICA SUIZA S.A. - MERCK SHARP & DOHME PERÚ S.R.L.,06/12/2017,," 66.795,02 ",USD,Perú
316,Maraviroc 150mg,,Contratación Directa,CENTRO NACIONAL DE ABASTECIMIENTO DE RECURSOS ESTRATEGICOS EN SALUD,GLAXOSMITHKLINE PERU S.A.,15/08/2019,," 55.475,27 ",USD,Perú
317,Etravirina 200mg,,Contratación Directa,CENTRO NACIONAL DE ABASTECIMIENTO DE RECURSOS ESTRATEGICOS EN SALUD,JOHNSON & JOHNSON DEL PERU S.A,08/12/2019,," 774.540,49 ",USD,Perú
318,Etravirina 200mg,,Contratación Directa,CENTRO NACIONAL DE ABASTECIMIENTO DE RECURSOS ESTRATEGICOS EN SALUD,JOHNSON & JOHNSON DEL PERU S.A,18/04/2018,," 574.073,62 ",USD,Perú
319,Etravirina 100mg,,Contratación Directa,CENTRO NACIONAL DE ABASTECIMIENTO DE RECURSOS ESTRATEGICOS EN SALUD,JOHNSON & JOHNSON DEL PERU S.A,14/06/2017,," 301.924,52 ",USD,Perú
320,Etravirina 100mg,,Contratación Directa,CENTRO NACIONAL DE ABASTECIMIENTO DE RECURSOS ESTRATEGICOS EN SALUD,JOHNSON & JOHNSON DEL PERU S.A,14/06/2017,," 108.185,85 ",USD,Perú
